Date,CNRMCCLM,CNRMRCA,ECEARTHCCLM,ECEARTHHIRHAM,ECEARTHRACMO,ECEARTHRCA,HADGEMRCA,IPSLRCA,MPICCLM,MPIRCA
1971-09-15,0.1,1.8,1.8,5.5,1.8,0.1,0.1,0.2,0.1,0.4
1971-09-16,0.1,51.4,35.4,10.4,1.5,0.4,0.1,1.9,1.7,0.1
1971-09-17,0.1,0.1,36.7,35.4,26.9,35.5,0.1,25.0,24.4,0.1
1971-09-18,0.1,0.1,0.1,0.7,4.1,5.8,0.4,1.6,39.6,17.8
1971-09-19,0.8,0.1,0.1,0.1,8.6,0.9,2.9,7.4,9.6,16.2
1971-09-20,18.4,5.1,0.1,0.1,3.1,0.8,2.1,0.1,5.0,12.2
1971-09-21,3.3,21.8,0.1,0.1,13.5,0.1,0.1,2.0,13.1,0.3
1971-09-22,6.9,13.0,2.0,0.1,0.6,0.1,0.1,0.1,38.2,25.0
1971-09-23,0.1,0.1,0.1,0.1,17.5,0.1,20.4,1.6,2.9,17.4
1971-09-24,0.1,0.1,0.1,5.6,2.0,0.2,15.2,3.6,2.2,1.6
1971-09-25,0.1,0.1,1.2,2.0,6.6,0.1,25.7,1.5,0.3,12.1
1971-09-26,0.1,0.1,0.5,0.2,0.0,0.1,0.7,1.0,12.8,7.1
1971-09-27,0.1,0.5,19.2,1.5,0.1,7.5,11.8,0.1,3.0,0.0
1971-09-28,0.9,0.8,3.7,1.0,0.3,0.4,21.8,0.1,38.9,0.1
1971-09-29,0.3,0.1,0.1,1.4,21.1,0.1,4.4,0.1,0.5,0.1
1971-09-30,0.2,0.2,8.3,0.5,25.7,6.1,4.2,0.1,0.1,0.1
1971-10-01,0.1,0.6,14.9,2.9,9.0,22.8,0.3,0.1,0.8,13.2
1971-10-02,0.1,2.5,15.7,2.0,0.5,17.8,0.2,14.2,0.1,9.6
1971-10-03,0.1,11.3,8.7,2.4,0.0,0.3,2.3,0.5,1.1,1.2
1971-10-04,0.1,2.1,0.2,3.6,0.0,13.8,25.5,22.2,4.3,0.8
1971-10-05,0.1,0.1,19.2,0.1,0.0,0.1,0.1,21.9,0.1,2.6
1971-10-06,0.1,0.3,13.3,0.1,0.1,0.1,11.0,6.5,0.1,0.1
1971-10-07,24.5,2.7,0.1,0.1,3.2,0.1,14.9,0.1,0.1,0.1
1971-10-08,21.0,0.2,0.1,0.8,8.2,0.7,1.1,2.0,0.1,0.1
1971-10-09,0.1,24.4,0.1,1.0,1.3,0.2,4.8,0.1,0.1,0.1
1971-10-10,9.4,0.4,0.1,0.1,1.9,0.1,3.6,3.6,0.1,0.1
1971-10-11,2.8,4.3,5.6,16.0,11.4,10.8,0.2,6.0,0.1,2.4
1971-10-12,8.3,0.2,0.9,31.2,0.1,11.2,0.1,0.9,0.3,3.6
