"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5329",1971-08-04,17.835,17.919,18.454,17.815,17.415,18.22,18.839,18.498,17.14,17.179
"5330",1971-08-05,16.335,16.419,16.954,16.315,15.915,16.72,17.339,16.998,15.64,15.679
"5331",1971-08-06,16.235,16.319,16.854,16.215,15.815,16.62,17.239,16.898,15.54,15.579
"5332",1971-08-07,16.035,16.119,16.654,16.015,15.615,16.42,17.039,16.698,15.34,15.379
"5333",1971-08-08,15.435,15.519,16.054,15.415,15.015,15.82,16.439,16.098,14.74,14.779
"5334",1971-08-09,14.135,14.219,14.754,14.115,13.715,14.52,15.139,14.798,13.44,13.479
"5335",1971-08-10,13.535,13.619,14.154,13.515,13.115,13.92,14.539,14.198,12.84,12.879
"5336",1971-08-11,12.135,12.219,12.754,12.115,11.715,12.52,13.139,12.798,11.44,11.479
"5337",1971-08-12,12.135,12.219,12.754,12.115,11.715,12.52,13.139,12.798,11.44,11.479
"5338",1971-08-13,12.335,12.419,12.954,12.315,11.915,12.72,13.339,12.998,11.64,11.679
"5339",1971-08-14,12.035,12.119,12.654,12.015,11.615,12.42,13.039,12.698,11.34,11.379
"5340",1971-08-15,12.935,13.019,13.554,12.915,12.515,13.32,13.939,13.598,12.24,12.279
"5341",1971-08-16,14.235,14.319,14.854,14.215,13.815,14.62,15.239,14.898,13.54,13.579
"5342",1971-08-17,13.935,14.019,14.554,13.915,13.515,14.32,14.939,14.598,13.24,13.279
"5343",1971-08-18,15.435,15.519,16.054,15.415,15.015,15.82,16.439,16.098,14.74,14.779
"5344",1971-08-19,14.635,14.719,15.254,14.615,14.215,15.02,15.639,15.298,13.94,13.979
"5345",1971-08-20,14.835,14.919,15.454,14.815,14.415,15.22,15.839,15.498,14.14,14.179
"5346",1971-08-21,16.835,16.919,17.454,16.815,16.415,17.22,17.839,17.498,16.14,16.179
